,rank_date,rank,country_full,country_abrv,cur_year_avg_weighted,two_year_ago_weighted,three_year_ago_weighted,weighted_points
5622,2018-06-07,145.0,Afghanistan,AFG,112.98,31.69,6.8,151.47000000000003
14692,2018-06-07,58.0,Albania,ALB,233.86,66.85,121.05,421.76000000000005
23762,2018-06-07,66.0,Algeria,ALG,163.41,91.4,101.63,356.44
30932,2018-06-07,192.0,American Samoa,ASA,0.0,38.25,0.0,38.25
38802,2018-06-07,130.0,Andorra,AND,189.89,2.21,0.0,192.1
47872,2018-06-07,137.0,Angola,ANG,114.9,32.22,36.55,183.67000000000002
55567,2018-06-07,206.0,Anguilla,AIA,0.0,0.0,0.0,0.0
64637,2018-06-07,126.0,Antigua and Barbuda,ATG,51.17,69.12,47.64,167.93
73707,2018-06-07,5.0,Argentina,ARG,404.07,248.99,183.59,836.65
82467,2018-06-07,100.0,Armenia,ARM,100.78,43.51,13.7,157.98999999999998
91537,2018-06-07,188.0,Aruba,ARU,0.0,48.45,0.0,48.45
100607,2018-06-07,36.0,Australia,AUS,366.6,98.16,59.79,524.55
109677,2018-06-07,26.0,Austria,AUT,456.27,151.02,122.76,730.05
118437,2018-06-07,105.0,Azerbaijan,AZE,98.83,36.51,13.64,148.98000000000002
127507,2018-06-07,206.0,Bahamas,BAH,0.0,0.0,0.0,0.0
136577,2018-06-07,113.0,Bahrain,BHR,179.12,40.37,28.24,247.73000000000002
145647,2018-06-07,194.0,Bangladesh,BAN,0.0,10.54,13.6,24.14
154717,2018-06-07,160.0,Barbados,BRB,54.64,42.59,29.84,127.07000000000001
163787,2018-06-07,78.0,Belarus,BLR,204.8,88.39,39.3,332.49
172857,2018-06-07,3.0,Belgium,BEL,629.98,158.94,186.58,975.5000000000001
181064,2018-06-07,163.0,Belize,BLZ,8.5,76.76,8.5,93.76
190134,2018-06-07,88.0,Benin,BEN,177.12,88.43,20.15,285.7
199204,2018-06-07,178.0,Bermuda,BER,34.0,13.64,34.0,81.64
205716,2018-06-07,183.0,Bhutan,BHU,0.0,0.0,25.5,25.5
214786,2018-06-07,59.0,Bolivia,BOL,291.14,66.68,21.32,379.14
222838,2018-06-07,40.0,Bosnia and Herzegovina,BIH,269.36,138.16,67.06,474.58
231908,2018-06-07,139.0,Botswana,BOT,79.64,67.03,23.98,170.65
240978,2018-06-07,2.0,Brazil,BRA,558.95,168.06,162.38,889.39
248673,2018-06-07,204.0,British Virgin Islands,VGB,0.0,0.0,4.25,4.25
257743,2018-06-07,195.0,Brunei Darussalam,BRU,0.0,0.0,12.75,12.75
266813,2018-06-07,49.0,Bulgaria,BUL,269.64,62.37,61.48,393.49
275883,2018-06-07,52.0,Burkina Faso,BFA,246.29,68.51,46.86,361.66
284953,2018-06-07,148.0,Burundi,BDI,83.78,50.43,14.45,148.66
293160,2018-06-07,166.0,Cambodia,CAM,45.54,10.47,15.31,71.32
302230,2018-06-07,49.0,Cameroon,CMR,206.63,69.7,69.82,346.15
311300,2018-06-07,79.0,Canada,CAN,238.61,65.16,28.51,332.28
320370,2018-06-07,65.0,Cape Verde Islands,CPV,302.55,75.68,81.59,459.82000000000005
329440,2018-06-07,202.0,Cayman Islands,CAY,0.0,0.0,8.5,8.5
338510,2018-06-07,108.0,Central African Republic,CTA,213.01,90.07,0.0,303.08
347580,2018-06-07,175.0,Chad,CHA,0.0,87.98,0.0,87.98
356650,2018-06-07,9.0,Chile,CHI,403.99,217.49,97.51,718.99
365720,2018-06-07,75.0,China PR,CHN,204.03,73.15,49.1,326.28000000000003
374790,2018-06-07,123.0,Chinese Taipei,TPE,175.19,8.77,9.07,193.03
383860,2018-06-07,16.0,Colombia,COL,292.09,199.73,166.38,658.1999999999999
388050,2018-06-07,149.0,Comoros,COM,71.55,37.46,0.0,109.00999999999999
